key,source,target
EquipmentText/ModuleName2050,[Mod] Laser Drone,
EquipmentText/ModuleName2025,[Mod] Flame Path,
EquipmentText/ModuleName2118,"[Mod] Vulcan's Heart",
EquipmentText/ModuleName2040,[Mod] Fire Dragon,
EquipmentText/ModuleName2008,[Mod] Extinction Protocol,
EquipmentText/ModuleName2157,[Mod] Psionic Armor,
EquipmentText/ModuleName2035,[Mod] Fireball,
EquipmentText/ModuleName2001,[Mod] Incendiary Rounds,
EquipmentText/ModuleName2162,[Mod] Branding Eye,
EquipmentText/ModuleName2055,[Mod] Napalm,
EquipmentText/ModuleName2071,[Mod] Boom Bloom,
EquipmentText/ModuleName2062,[Mod] Detonation Protocol,
EquipmentText/ModuleName2114,[Mod] Shepherd,
EquipmentText/ModuleName2027,[Mod] Rush Courier,
EquipmentText/ModuleName2129,"[Mod] Sniper's Bracelet",
EquipmentText/ModuleName2146,[Mod] Orion,
EquipmentText/ModuleName2075,[Mod] Xuanwu,
EquipmentText/ModuleName2043,[Mod] Sanitation,
EquipmentText/ModuleName2072,[Mod] Glass Band,
EquipmentText/ModuleName2154,[Mod] Bio-Siphon Goggles,
EquipmentText/ModuleName2024,[Mod] Life Link,
EquipmentText/ModuleName2113,[Mod] Bio-Sustainer Program,
EquipmentText/ModuleName2049,[Mod] EMP Drone,
EquipmentText/ModuleName2112,[Mod] EMP Gauntlets,
EquipmentText/ModuleName2095,[Mod] Truth,
EquipmentText/ModuleName2057,[Mod] Stun Grenade,
EquipmentText/ModuleName2117,[Mod] Starbreaker,
EquipmentText/ModuleName2078,[Mod] Magnetic,
EquipmentText/ModuleName2134,[Mod] Neural Block Chip,
EquipmentText/ModuleName2080,[Mod] Mythic Causality Glasses,
EquipmentText/ModuleName2120,[Mod] Speed Force,
EquipmentText/ModuleName2042,[Mod] Air Strike,
EquipmentText/ModuleName2030,[Mod] Thrust Field Belt,
EquipmentText/ModuleName2004,[Mod] Sticky Rounds,
EquipmentText/ModuleName2009,[Mod] Calibrator,
EquipmentText/ModuleName2022,[Mod] Cell Regen Belt,
EquipmentText/ModuleName2141,[Mod] Lethal Express,
EquipmentText/ModuleName2077,[Mod] Purge Compute Unit,
EquipmentText/ModuleName2098,[Mod] Absolute Zero,
EquipmentText/ModuleName2017,[Mod] Rocket Barrage,
EquipmentText/ModuleName2158,[Mod] Energy Core,
EquipmentText/ModuleName2160,[Mod] Sandstorm Grasp,
EquipmentText/ModuleName2127,[Mod] Isolation Helm,
EquipmentText/ModuleName2123,[Mod] Fatal Beacon,
EquipmentText/ModuleName2142,[Mod] Lethal Hive Bracer,
EquipmentText/ModuleName2156,[Mod] Painful Shackles,
EquipmentText/ModuleName2041,[Mod] Thunderfall,
EquipmentText/ModuleName2003,[Mod] Lightning Rounds,
EquipmentText/ModuleName2150,[Mod] Siphon Suit,
EquipmentText/ModuleName2161,[Mod] Corrosive Armor,
EquipmentText/ModuleName2159,[Mod] Venom Queen,
EquipmentText/ModuleName2091,[Mod] Brute Force Bracers,
EquipmentText/ModuleName2053,[Mod] Medic Weave,
EquipmentText/ModuleName2109,[Mod] Hive Support Belt,
EquipmentText/ModuleName2084,[Mod] Blood Offering,
EquipmentText/ModuleName2144,[Mod] Street Brawler,
EquipmentText/ModuleName2163,[Mod] Fission Chip,
EquipmentText/ModuleName2170,[Mod] Riftcleave,
EquipmentText/ModuleName2137,[Mod] Hypercompute Goggles,
EquipmentText/ModuleName2104,[Mod] Overload Gauntlets,
EquipmentText/ModuleName2039,[Mod] Overload Plating,
EquipmentText/ModuleName2038,[Mod] OC Power Helm,
EquipmentText/ModuleName2136,[Mod] Overheat Chain Bracelet,
EquipmentText/ModuleName2132,[Mod] Close-Quarters Combat Suit,
EquipmentText/ModuleName2133,[Mod] Long-Range Combat Suit,
EquipmentText/ModuleName2005,[Mod] Burst Rounds,
EquipmentText/ModuleName2174,[Mod] Shadowchase,
EquipmentText/ModuleName2101,[Mod] Stalker Helm,
EquipmentText/ModuleName2021,[Mod] Stalker Visor,
EquipmentText/ModuleName2020,[Mod] Hunt Beacon,
EquipmentText/ModuleName2016,[Mod] Homing Sting,
EquipmentText/ModuleName2019,[Mod] Homing Missile,
EquipmentText/ModuleName2153,[Mod] Rapid-Fire Calibrator,
EquipmentText/ModuleName2143,[Mod] Rebirth Insurer,
EquipmentText/ModuleName2087,[Mod] Bastion Alloy Chestplate,
EquipmentText/ModuleName2125,[Mod] Iron Judgment Bracelet,
EquipmentText/ModuleName2171,[Mod] Ironclad,
EquipmentText/ModuleName2007,[Mod] Chain,
EquipmentText/ModuleName2081,[Mod] Koi-Tek Visor,
EquipmentText/ModuleName2029,[Mod] Riot-Strike Heavy Boots,
EquipmentText/ModuleName2149,[Mod] Lightning Charge Helm,
EquipmentText/ModuleName2018,[Mod] Chain Lightning,
EquipmentText/ModuleName2056,[Mod] Cluster Grenade,
EquipmentText/ModuleName2032,[Mod] Thunder Counter,
EquipmentText/ModuleName2096,[Mod] Mjolnir,
EquipmentText/ModuleName2012,[Mod] Static Anchor,
EquipmentText/ModuleName2103,[Mod] Silent Torrent Bracelet,
EquipmentText/ModuleName2122,[Mod] Stormhelm,
EquipmentText/ModuleName2013,[Mod] Frei-Schütze,
EquipmentText/ModuleName2110,[Mod] Inferno Greaves,
EquipmentText/ModuleName2089,[Mod] Arcanist Longbow,
EquipmentText/ModuleName2128,[Mod] Blood Feast,
EquipmentText/ModuleName2082,[Mod] Hacker Shades,
EquipmentText/ModuleName2026,[Mod] Black Hole,
EquipmentText/EquipmentTypeID130020,Trident Pulse Rifle,
EquipmentText/EquipmentTypeID211503,Immovable Mountain Armor,
EquipmentText/EquipmentTypeID211002,Unyielding Armor,
EquipmentText/EquipmentTypeID170502,Bramblegod Bow,
EquipmentText/EquipmentTypeID260501,Relay Band,
EquipmentText/ContractName106,Harvest Pact,
EquipmentText/Attribute_Tech_Name,Divine Tech,
EquipmentText/Attribute_Attack_Info11,Primary Attribute Type,
EquipmentText/EquipmentTypeID231503,Desperado,
EquipmentText/EquipmentTypeID200507,Sensor Boost Helm,
EquipmentText/EquipmentTypeID250502,Legendary Fated Glasses,
EquipmentText/AffixeName52,Legendary,
EquipmentText/Attribute_Tech_Info6,Legendary Tech Chance,
EquipmentText/TalentDesc1409,Legendary Tech Chance +<Green_12>%s%</>,
EquipmentText/TalentDesc4409,Legendary Tech Chance +<Green_12>%s%</>,
EquipmentText/TalentDesc5409,Legendary Tech Chance +<Green_12>%s%</>,
EquipmentText/arr_BaseAttributeBonusDisplay52,Legendary Tech Spawn Chance + <Green_14>%s%</>,
EquipmentText/ModuleTips2079,Legendary Tech Spawn Chance + <Green_14>8%</>,
EquipmentText/Attribute_Weapon_Info1,Damage,
EquipmentText/Attribute_Attack_Info2,DMG to Full-HP,
EquipmentText/TalentDesc3204,Damage to Full-HP +<Green_12>%s%</>,
EquipmentText/arr_BaseAttributeBonusDisplay17,Damage to Full-HP +<Green_14>%s%</>,
EquipmentText/Attribute_Attack_Info4,DMG to <50% HP,
EquipmentText/TalentDesc1009,Damage to <50% HP +<Green_12>%s%</>,
EquipmentText/TalentDesc2106,Damage to <50% HP +<Green_12>%s%</>,
EquipmentText/TalentDesc5008,Damage to <50% HP +<Green_12>%s%</>,
EquipmentText/arr_BaseAttributeBonusDisplay19,Damage to <50% HP +<Green_14>%s%</>,
EquipmentText/Attribute_Attack_Info3,DMG to ≥50% HP,
EquipmentText/TalentDesc2008,Damage to ≥50% HP +<Green_12>%s%</>,
EquipmentText/TalentDesc2105,Damage to ≥50% HP +<Green_12>%s%</>,
EquipmentText/TalentDesc2202,Damage to ≥50% HP +<Green_12>%s%</>,
EquipmentText/TalentDesc3005,Damage to ≥50% HP +<Green_12>%s%</>,
EquipmentText/TalentDesc3208,Damage to ≥50% HP +<Green_12>%s%</>,
EquipmentText/TalentDesc4001,Damage to ≥50% HP +<Green_12>%s%</>,
EquipmentText/TalentDesc4202,Damage to ≥50% HP +<Green_12>%s%</>,
EquipmentText/TalentDesc5206,Damage to ≥50% HP +<Green_12>%s%</>,
EquipmentText/arr_BaseAttributeBonusDisplay18,Damage to ≥50% HP +<Green_14>%s%</>,
EquipmentText/Attribute_Survival_Info8,Damage Reduction,
EquipmentText/TalentDesc3106,Damage Reduction +<Green_12>%s%</>,
EquipmentText/AffixeName2000,Low-temp,
EquipmentText/EquipmentTypeID210501,Cryo Protection System,
EquipmentText/ModuleTips2132,"Melee damage you take is reduced by <Green_14>35%</>, but Ranged damage you take is increased by <red_14>15%</>.",
EquipmentText/ModuleTips2133,"Ranged damage you take is reduced by <Green_14>35%</>, but Melee damage you take is increased by <red_14>15%</>.",
EquipmentText/ModuleTips2065,Deal <Green_14>18%</> bonus damage to enemies with status ailments.,
EquipmentText/ModuleTips2066,Deal <Green_14>45%</> bonus damage to incapacitated ([stunned]/[frozen]) enemies.,
EquipmentText/ModuleTips2067,You deal <Green_14>50%</> bonus damage to Normal Enemies.,
EquipmentText/ModuleTips2068,You deal <Green_14>25%</> extra damage against Elites and Boss,
EquipmentText/ModuleTips2077,You have <Green_14>50%</> chance to resist any negative status.,
EquipmentText/ModuleTips2150,"Your [Dash] has a <Green_14>100%</> chance to trigger Life Link, linking <Green_14>3</> enemies, dealing <Green_14>{Param}</> DPS and draining <Green_14>4</> HP per second for <Green_14>3</>s.",
EquipmentText/ModuleTips2062,Your [Throw] Damage Bonus increases [Weapon] Damage Bonus by <Green_14>35%</> of its value.,
EquipmentText/ModuleTips2162,"Your [Psionic] damage leaves a ""brand"" on enemies. After <Green_14>3</>s, the brand explodes, dealing bonus damage equal to <Green_14>50%</> of the total [Psionic] damage taken by the enemy during that time. Cooldown: <Green_14>3</>s.",
EquipmentText/ModuleTips2052,Your [Auxiliary Weapon] Damage Bonus increases [Weapon] Damage Bonus by <Green_14>70%</> of its value.,
EquipmentText/ModuleTips2094,"Your weapon hits have a <Green_14>3%</> chance to spew flames, and a <Green_14>3%</> chance to fire an ice shard. Chase Area +<Green_14>20%</>.",
EquipmentText/ModuleTips2120,Your Movement Speed Bonus increases Crit Chance by <Green_14>38%</> of its value.,
EquipmentText/TalentDesc1003,"After using [Dash], automatically reloads <Green_12>50%</> of the magazine.",
EquipmentText/TalentDesc1110,"After using [Throw], reload <Green_12>50%</>[Weapon] magazine and gain <Green_12>20%</> All DMG for 5s",
EquipmentText/Attribute_Throw_Desc9,Cooldown Reduction when using [Throw],
EquipmentText/Attribute_Attack_Desc10,Cooldown of all Divine Tech abilities except Dash: {0}%.,
EquipmentText/AffixeName2002,Corrosion,
EquipmentText/EquipmentTypeID221000,Capacitor Belt,
EquipmentText/TalentName1404,Prophet,
EquipmentText/TalentName4404,Prophet,
EquipmentText/TalentName5404,Prophet,
EquipmentText/EquipmentTypeID230000,Photon Glove,
EquipmentText/AffixeName2050,Prism,
EquipmentText/ModuleTips2134,Immune to [Freeze] and [Stun] status ailments.,
EquipmentText/arr_BaseAttributeBonusDisplay9,All Damage + <Green_14>%s%</>,
EquipmentText/ModuleTips2072,"All Damage +<Green_14>80%</>, Damage Taken +<red_14>50%</>",
EquipmentText/Attribute_Attack_Info1,All Damage Bonus,
EquipmentText/TalentDesc1109,All DMG +<Green_12>%s%</>,
EquipmentText/TalentDesc1205,All DMG +<Green_12>%s%</>,
EquipmentText/TalentDesc1306,All DMG +<Green_12>%s%</>,
EquipmentText/TalentDesc3008,All DMG +<Green_12>%s%</>,
EquipmentText/TalentDesc3209,All DMG +<Green_12>%s%</>,
EquipmentText/TalentDesc4000,All DMG +<Green_12>%s%</>,
EquipmentText/TalentDesc4109,All DMG +<Green_12>%s%</>,
EquipmentText/TalentDesc5006,All DMG +<Green_12>%s%</>,
EquipmentText/TalentDesc5105,All DMG +<Green_12>%s%</>,
EquipmentText/arr_BaseAttributeBonusDisplay1000,All Damage + <Green_14>%s%</>,
EquipmentText/arr_BaseAttributeBonusDisplay1002,All Damage + <Green_14>%s%</>,
EquipmentText/Attribute_Attack_Desc1,Global damage increase applied to all sources,
EquipmentText/EquipmentTypeID250001,Holographic Goggles,
EquipmentText/Attribute_Others_Name,Others,
EquipmentText/TalentName2302,Regeneration,
EquipmentText/TalentName3109,Regeneration,
EquipmentText/TalentName3302,Regeneration,
EquipmentText/AffixeName4,Regen,
EquipmentText/AffixeName2036,Ice Bullet,
EquipmentText/EquipmentTypeID120502,Hymn of Frost & Flame,
EquipmentText/AffixeName2015,IceArrow,
EquipmentText/EquipmentTypeID280502,Hail,
EquipmentText/TalentName1300,Dash DMG,
EquipmentText/EquipmentTypeID280001,Impact Grenade,
EquipmentText/Attribute_Dash_Name,Dash,
EquipmentText/Attribute_Dash_Info3,Dash Damage,
EquipmentText/Attribute_Dash_Info2,Dash CD Reduction,
EquipmentText/Attribute_Dash_Info4,Dash Charges,
EquipmentText/ModuleTips2173,"After a Dash, the next melee attack triggers [Chase] Sweep.",
EquipmentText/Attribute_Dash_Info9,Dash Projectiles,
EquipmentText/Attribute_Dash_Info1,Dash duration,
EquipmentText/Attribute_Dash_Info7,Dash Slots,
EquipmentText/TalentName1303,Dash Crit,
EquipmentText/Attribute_Dash_Info8,Dash Crit Chance,
EquipmentText/Attribute_Dash_Desc3,Bonus damage for Dash-type Divine Tech abilities,
EquipmentText/Attribute_Dash_Desc2,Bonus cooldown reduction for Dash-type Divine Tech abilities,
EquipmentText/Attribute_Dash_Desc1,Bonus duration for Dash-type Divine Tech abilities,
EquipmentText/Attribute_Dash_Desc6,Bonus Area for Dash-type Divine Tech abilities,
EquipmentText/Attribute_Dash_Desc8,Bonus Crit Chance for Dash-type Divine Tech abilities,
EquipmentText/Attribute_Dash_Info6,Dash Area,
EquipmentText/Attribute_Dash_Info5,Dash Distance,
EquipmentText/TalentName1304,Dash Area,
EquipmentText/TalentName1308,Dash Duration,
EquipmentText/TalentName4303,Dash Range,
EquipmentText/TalentName5303,Dash Range,
EquipmentText/Weapon_Type_SMG,SMG,
EquipmentText/TalentName5210,Onslaught,
EquipmentText/TalentName2010,Duel,
EquipmentText/Attribute_Attack_Info10,Cooldown Reduction,
EquipmentText/TalentDesc2305,Cooldown Reduction +<Green_12>%s%</>,
EquipmentText/TalentDesc3305,Cooldown Reduction +<Green_12>%s%</>,
EquipmentText/TalentDesc4309,Cooldown Reduction +<Green_12>%s%</>,
EquipmentText/TalentDesc5203,Cooldown Reduction +<Green_12>%s%</>,
EquipmentText/TalentDesc5207,Cooldown Reduction +<Green_12>%s%</>,
EquipmentText/TalentDesc5309,Cooldown Reduction +<Green_12>%s%</>,
EquipmentText/arr_BaseAttributeBonusDisplay28,Cooldown Reduction + <Green_14>%s%</>,
EquipmentText/Attribute_Survival_Desc8,Percentage of incoming damage mitigated,
EquipmentText/ModuleTips2013,"After kill, create an energy bullet that ricochets between enemies, dealing <Green_14>250%</> [Weapon] damage. Max <Green_14>5</> ricochets. CD <Green_14>5</>s.",
EquipmentText/Attribute_Survival_Info5,Chance of On-Kill Heal,
EquipmentText/TalentDesc2307,Chance of On-Kill Heal +<Green_12>%s%</>,
EquipmentText/TalentDesc3307,Chance of On-Kill Heal +<Green_12>%s%</>,
EquipmentText/TalentDesc4305,Chance of On-Kill Heal +<Green_12>%s%</>,
EquipmentText/TalentDesc5305,Chance of On-Kill Heal +<Green_12>%s%</>,
EquipmentText/arr_BaseAttributeBonusDisplay8,Chance of On-Kill Heal + <Green_14>%s%</>,
EquipmentText/ModuleTips2084,Chance of On-Kill Heal +<Green_14>35%</>,
EquipmentText/Attribute_Weapon_Info8,Knockback,
EquipmentText/AffixeName2006,Split,
EquipmentText/AffixeName1,Rigid,
EquipmentText/EquipmentTypeID260504,Trauma Memory,
EquipmentText/AffixeName2019,Homing,
EquipmentText/EquipmentTypeID201002,Power Helm,
EquipmentText/TalentName3004,Dynamic Shatter,
EquipmentText/EquipmentTypeID231500,Kinetic Armbrace,
EquipmentText/EquipmentTypeID241002,Kinetic Boots,
EquipmentText/TalentName2306,Momentum,
EquipmentText/TalentName3306,Momentum,
EquipmentText/TalentName1309,Upgrade,
EquipmentText/TalentName2406,Upgrade,
EquipmentText/TalentName3406,Upgrade,
EquipmentText/TalentName4308,Upgrade,
EquipmentText/TalentName5308,Upgrade,
EquipmentText/TalentDesc1410,"On Level Up, Tech Rerolls +1",
EquipmentText/TalentDesc4410,"On Level Up, Tech Rerolls +1",
EquipmentText/TalentDesc5410,"On Level Up, Tech Rerolls +1",
EquipmentText/TalentDesc2403,"On Level Up, the airdrop lands immediately.",
EquipmentText/TalentDesc3403,"On Level Up, the airdrop lands immediately.",
EquipmentText/Attribute_Survival_Info4,Level-Up Heal,
EquipmentText/TalentDesc1309,Level-Up Heal +<Green_12>%s</>,
EquipmentText/TalentDesc2406,Level-Up Heal +<Green_12>%s</>,
EquipmentText/TalentDesc3406,Level-Up Heal +<Green_12>%s</>,
EquipmentText/TalentDesc4308,Level-Up Heal +<Green_12>%s</>,
EquipmentText/TalentDesc5308,Level-Up Heal +<Green_12>%s</>,
EquipmentText/arr_BaseAttributeBonusDisplay5,Level-Up Heal + <Green_14>%s</>,
EquipmentText/ModuleTips2088,"Level-Up Airdrop lands precisely on your location, dealing <Green_14>10x</> impact damage to nearby enemies with <Green_14>5x</> damage radius.",
EquipmentText/TalentDesc2309,"Below half HP, gain Armor +<Green_12>15</>",
EquipmentText/TalentDesc3309,"Below half HP, gain Armor +<Green_12>15</>",
EquipmentText/TalentDesc3108,"Below half HP, [Psionic] DMG +<Green_12>15%</> and Area +<Green_12>15%</>",
EquipmentText/TalentName4105,Aux Crit,
EquipmentText/AffixeName29,Sync,
EquipmentText/TalentName4100,Aux Attack,
EquipmentText/EquipmentTypeID150000,Solo Assault Launcher,
EquipmentText/EquipmentTypeID220504,Doomblade Belt,
EquipmentText/AffixeName18,Suppress,
EquipmentText/EquipmentTypeID211000,Suppressor Heavy Armor,
EquipmentText/EquipmentTypeID280504,Amphiptere,
EquipmentText/TalentName3010,Twin Fire,
EquipmentText/ModuleTips2030,"After activating [Dash], gain <Green_14>15%</> temporary shield for <Green_14>2</>s.",
EquipmentText/ModuleTips2107,"After using a [Tactical Skill], damage taken is reduced by <Green_14>30%</> for 5 seconds.",
EquipmentText/ModuleTips2089,"After using a [Tactical Skill], gain a buff: fires a Multishot volley <Green_14>2</> times, lasting <Green_14>6</> seconds.",
EquipmentText/TalentDesc2306,Taking damage has <Green_12>5%</> chance to reset [Dash] CD,
EquipmentText/TalentDesc3306,Taking damage has <Green_12>5%</> chance to reset [Dash] CD,
EquipmentText/ModuleTips2135,"When taking damage, <Green_14>30%</> chance to avoid damage and teleport to a nearby location.",
EquipmentText/ModuleTips2155,"When taking damage, stomp the ground, releasing <Green_14>3</> shockwaves dealing <Green_14>{Param}</> [Psionic] damage. Cooldown: <Green_14>1</>s.",
EquipmentText/ModuleTips2130,"When attacked, Armor increases by <Green_14>35</>, but Fire Rate and Move Speed decrease by <red_14>15%</> for 3 seconds.",
EquipmentText/ContractDesc114,"When taking lethal damage, chance to restore <Green_14>30%</> HP and freeze nearby enemies.
Immune to Freeze and Stun.",
EquipmentText/TalentName2407,Alter,
EquipmentText/TalentName3407,Alter,
EquipmentText/TalentName4408,Alter,
EquipmentText/TalentName5408,Alter,
EquipmentText/AffixeName49,Change,
EquipmentText/EquipmentTypeID250511,Orbit Swap Goggles,
EquipmentText/AffixeName2073,Stack Armor,
EquipmentText/TalentDesc4110,"Summon a Drone [Weapon] that deals <Green_12>25%</>[Weapon] DMG, fire rate <Green_12>0.4</>, boosted by [Aux Weapon] stats",
EquipmentText/ModuleTips2167,Summoned Mechatech gain invincibility and deal <Green_14>35%</> increased damage. They no longer draw enemy aggro.,
EquipmentText/Attribute_Dash_Desc7,Maximum number of different Dash-type Divine Tech you can hold,
EquipmentText/Attribute_Skill_Desc5,Maximum number of different Tactical Skill-type Divine Tech you can hold,
EquipmentText/Attribute_Throw_Desc5,Maximum number of different Throw-type Divine Tech you can hold,
EquipmentText/Attribute_Psionic_Desc5,Maximum number of different Psionic-type Divine Tech you can hold,
EquipmentText/Attribute_AuxWeapon_Desc5,Maximum number of different Auxiliary Weapon-type Divine Tech you can hold,
EquipmentText/Attribute_Chase_Desc5,Maximum number of different Chase-type Divine Tech you can hold,
EquipmentText/AffixeName51,Epic,
EquipmentText/Attribute_Tech_Info5,Epic Tech Chance,
EquipmentText/TalentDesc1403,Epic Tech Chance +<Green_12>%s%</>,
EquipmentText/TalentDesc2402,Epic Tech Chance +<Green_12>%s%</>,
EquipmentText/TalentDesc3402,Epic Tech Chance +<Green_12>%s%</>,
EquipmentText/TalentDesc4403,Epic Tech Chance +<Green_12>%s%</>,
EquipmentText/TalentDesc5403,Epic Tech Chance +<Green_12>%s%</>,
EquipmentText/arr_BaseAttributeBonusDisplay1015,Epic Tech Spawn Chance + <Green_14>%s%</>,
EquipmentText/arr_BaseAttributeBonusDisplay51,Epic Tech Spawn Chance + <Green_14>%s%</>,
EquipmentText/TalentDesc1405,Epic Tech can be upgraded to Legendary,
EquipmentText/TalentDesc4405,Epic Tech can be upgraded to Legendary,
EquipmentText/TalentDesc5405,Epic Tech can be upgraded to Legendary,
EquipmentText/Weapon_Type_Blade,Alloy Blade,
EquipmentText/EquipmentTypeID201001,Alloy Helm,
EquipmentText/TalentName2308,Leech,
EquipmentText/TalentName3308,Leech,
EquipmentText/TalentName4306,Leech,
EquipmentText/TalentName5306,Leech,
EquipmentText/ModuleTips2175,"Hitting an enemy has a <Green_14>33%</> chance to summon a tornado, dealing <Green_14>1500</> [Chase] damage per second and knocking back small enemies. Internal cooldown: <Green_14>3</>s.",
EquipmentText/TalentName2307,Bloodthirst,
EquipmentText/TalentName3307,Bloodthirst,
EquipmentText/TalentName4305,Bloodthirst,
EquipmentText/TalentName5305,Bloodthirst,
EquipmentText/EquipmentTypeID210500,Sin-Eater,
EquipmentText/EquipmentTypeID150010,Quad Demolition Launcher,
EquipmentText/Attribute_Tech_Desc3,Number of times per run you can alter Divine Tech factions.,
EquipmentText/Attribute_Tech_Desc1,Number of times per run you can ban Divine Tech abilities. Banned abilities will not reappear for the rest of the run.,
EquipmentText/Attribute_Tech_Desc2,Number of times per run you can reroll Divine Tech abilities.,
EquipmentText/ModuleTips2151,"Plant and detonate a bomb on the first enemy encountered during [Dash], dealing <Green_14>{Param}</> DMG.",
EquipmentText/AffixeName60,Fielded,
EquipmentText/AffixeName3,Vital,
EquipmentText/EquipmentTypeID170504,Fallen Divine Punishment,
EquipmentText/EquipmentTypeID201000,Bulwark Helmet,
EquipmentText/EquipmentTypeID231001,Bastion Gloves,
EquipmentText/Attribute_Others_Desc1,"Increases the activation chance of Divine Tech abilities and the drop rate of consumables from monsters. Does not affect the rarity of Divine Tech appearances, equipment drop rate, or equipment drop rarity.",
EquipmentText/Attribute_Dash_Desc9,Increases the number of projectiles fired by Dash-type Divine Tech abilities,
EquipmentText/Attribute_Others_Desc5,Increases the chance of monsters dropping additional consumables. Does not affect equipment drop rate,
EquipmentText/Attribute_Skill_Desc3,Increases the number of projectiles fired by Tactical Skill-type Divine Tech abilities,
EquipmentText/Attribute_Throw_Desc7,Increases the number of projectiles fired by Throw-type Divine Tech abilities,
EquipmentText/Attribute_Others_Desc6,Increases the chance of dropping higher rarity equipment,
EquipmentText/Attribute_Ammo_Desc4,Increase the number of enemies a projectile can pierce through,
EquipmentText/Attribute_Ammo_Desc7,Increases the number of times a projectile can bounce after hitting an enemy; ricocheted bullets cannot penetrate,
EquipmentText/Attribute_Ammo_Desc9,Increases the magazine capacity of weapons,
EquipmentText/Attribute_Ammo_Desc5,Increases the number of projectiles fired by weapons,
EquipmentText/Attribute_Ammo_Desc8,Increases the reload speed of weapons,
EquipmentText/Attribute_Psionic_Desc1,Increases the number of projectiles fired by Psionic-type Divine Tech abilities,
EquipmentText/Attribute_Chase_Desc2,Increases the number of projectiles fired by chase-type Divine Tech abilities,
EquipmentText/TalentName1009,Execute,
EquipmentText/TalentName2106,Execute,
EquipmentText/TalentName5008,Execute,
EquipmentText/AffixeName2066,Execution,
EquipmentText/TalentName1310,Backup Power,
EquipmentText/ContractName102,Vengeance Pact,
EquipmentText/EquipmentTypeID201504,"Avenger's Cranium",
EquipmentText/Weapon_Type_CamBow,Cam Bow,
EquipmentText/Attribute_Survival_Info10,Revival Count,
EquipmentText/arr_BaseAttributeBonusDisplay1001,Revival Count + <Green_14>%s</>,
EquipmentText/ModuleTips2143,"Revival invincibility duration +<Green_14>1</>s.
Upon revival, gain a shield equal to <Green_14>100%</> of max HP for <Green_14>5</>s.",
EquipmentText/AffixeName2061,Multi-Core,
EquipmentText/TalentName2111,Big Bomb,
EquipmentText/EquipmentTypeID280503,Cataclysm,
EquipmentText/TalentName1410,Apocalypse,
EquipmentText/TalentName4410,Apocalypse,
EquipmentText/TalentName5410,Apocalypse,
EquipmentText/EquipmentTypeID250509,Apocalypse Goggles,
EquipmentText/AffixeName2033,Divine Punishment,
EquipmentText/AffixeName2003,Judgment,
EquipmentText/EquipmentTypeID270505,Tai Chi,
EquipmentText/ModuleTips2092,"Tai Chi: After a Perfect Dodge, [Dash] damage + <Green_14>100%</>, lasting <Green_14>5</> seconds, stacks up to <Green_14>5</> times.",
EquipmentText/Armor_Type_Head,Helmet,
EquipmentText/AffixeName2026,Singularity,
EquipmentText/EquipmentTypeID200503,Singularity,
EquipmentText/TalentName3111,Singularity,
EquipmentText/EquipmentTypeID110503,Lucky Marksman,
EquipmentText/TalentDesc1307,Bullet hits have <Green_12>1%</> chance to reset [Dash] CD,
EquipmentText/ModuleTips2003,"Bullet hits have <Green_14>25%</> chance to call down lightning, dealing <Green_14>{Param}</> damage in <Green_14>100</> radius",
EquipmentText/ModuleTips2000,Bullet hits apply <Green_14>1</> stack of [Chill],
EquipmentText/ModuleTips2002,bullets inflict [Poison],
EquipmentText/ModuleTips2001,bullets inflict [Burn],
EquipmentText/ModuleTips2004,"Bullet hits attach a sticky bomb, dealing <Green_14>350%</> [Weapon] damage in a <Green_14>150</> radius, cooldown <Green_14>3s</>.",
EquipmentText/TalentDesc4008,Ricochet Count +<Green_12>%s</>,
EquipmentText/ModuleTips2136,"After firing a critical hit bullet, <Green_14>80%</> chance not to consume ammo.",
EquipmentText/EquipmentTypeID220505,Lone Warrior Belt,
EquipmentText/EquipmentTypeID120500,All-In,
EquipmentText/TalentName1402,Scholar,
EquipmentText/TalentName2404,Scholar,
EquipmentText/TalentName3404,Scholar,
EquipmentText/TalentName4402,Scholar,
EquipmentText/TalentName5402,Scholar,
EquipmentText/ContractName100,Guardian Pact,
EquipmentText/TalentName4003,Full Pierce,
EquipmentText/EquipmentTypeID210502,Perfectionist,
EquipmentText/ModuleTips2110,"After a Perfect Dodge, automatically fire a homing fireball at the attacker, dealing <Green_14>{Param}</> [Psionic] damage.",
EquipmentText/ModuleTips2144,"Perfectly dodging projectile attacks allows you to bat them back with a baseball bat, dealing <Green_14>{Param}</> [Psionic] DMG.",
EquipmentText/ModuleTips2174,"On perfect dodge, unleash Fivefold Shadow Slash.",
EquipmentText/EquipmentTypeID230505,Demolition Gloves,
EquipmentText/AffixeName2023,Cold Assault,
EquipmentText/Attribute_Attack_Desc13,Bonus duration of status ailments inflicted on enemies,
EquipmentText/Attribute_Attack_Desc12,Bonus damage dealt when inflicting status ailments on enemies,
EquipmentText/Attribute_Attack_Desc3,Bonus damage against enemies with 50% or more HP,
EquipmentText/Attribute_Attack_Desc4,Bonus damage against enemies with less than 50% HP,
EquipmentText/Attribute_Attack_Desc2,Bonus damage against enemies with 100% HP,
EquipmentText/Attribute_Attack_Info5,DMG to Elites & Boss,
EquipmentText/TalentDesc1101,Damage to Elites & Boss +<Green_12>%s%</>,
