key,source,target
EquipmentText/EquipmentTypeID201504,Avenger's Cranium,Crânio do Vingador
EquipmentText/Weapon_Type_CamBow,Cam Bow,Cam Bow
EquipmentText/Attribute_Survival_Info10,Revival Count,Revives
EquipmentText/arr_BaseAttributeBonusDisplay1001,Revival Count + <Green_14>%s</>,Revives + <Green_14>%s</>
EquipmentText/ModuleTips2143,"Revival invincibility duration +<Green_14>1</>s.
Upon revival, gain a shield equal to <Green_14>100%</> of max HP for <Green_14>5</>s.","Duração da invencibilidade ao reviver +<Green_14>1</>s.
Ao reviver, ganha um escudo igual a <Green_14>100%</> da Vida máxima por <Green_14>5</>s."
EquipmentText/AffixeName2061,Multi-Core,Multinúcleo
EquipmentText/TalentName2111,Big Bomb,Big Bomb
EquipmentText/EquipmentTypeID280503,Cataclysm,Cataclismo
EquipmentText/TalentName1410,Apocalypse,Apocalypse
EquipmentText/TalentName4410,Apocalypse,Apocalypse
EquipmentText/TalentName5410,Apocalypse,Apocalypse
EquipmentText/EquipmentTypeID250509,Apocalypse Goggles,Óculos do Apocalipse
EquipmentText/AffixeName2033,Divine Punishment,Punição Divina
EquipmentText/AffixeName2003,Judgment,Judgment
EquipmentText/EquipmentTypeID270505,Tai Chi,Tai Chi
EquipmentText/ModuleTips2092,"Tai Chi: After a Perfect Dodge, [Dash] damage + <Green_14>100%</>, lasting <Green_14>5</> seconds, stacks up to <Green_14>5</> times.","Tai Chi: Após uma Esquiva Perfeita, dano de [Avanço] + <Green_14>100%</> por <Green_14>5</> segundos, acumula até <Green_14>5</> vezes."
EquipmentText/Armor_Type_Head,Helmet,Capacete
EquipmentText/AffixeName2026,Singularity,Singularity
EquipmentText/EquipmentTypeID200503,Singularity,Singularity
EquipmentText/TalentName3111,Singularity,Singularity
EquipmentText/EquipmentTypeID110503,Lucky Marksman,Atirador Sortudo
EquipmentText/TalentDesc1307,Bullet hits have <Green_12>1%</> chance to reset [Dash] CD,Acertos de projétil têm <Green_12>1%</> de chance de reiniciar a recarga de [Avanço]
EquipmentText/ModuleTips2003,"Bullet hits have <Green_14>25%</> chance to call down lightning, dealing <Green_14>{Param}</> damage in <Green_14>100</> radius","Acertos de projétil têm <Green_14>25%</> de chance de invocar um relâmpago, causando <Green_14>{Param}</> de dano em um raio de <Green_14>100</>"
EquipmentText/ModuleTips2000,Bullet hits apply <Green_14>1</> stack of [Chill],Acertos de projétil aplicam <Green_14>1</> acúmulo de [Calafrio]
EquipmentText/ModuleTips2002,bullets inflict [Poison],Projéteis infligem [Veneno]
EquipmentText/ModuleTips2001,bullets inflict [Burn],Projéteis infligem [Queimadura]
EquipmentText/ModuleTips2004,"Bullet hits attach a sticky bomb, dealing <Green_14>350%</> [Weapon] damage in a <Green_14>150</> radius, cooldown <Green_14>3s</>.","Acertos de projétil fixam uma bomba aderente, causando <Green_14>350%</> de dano de [Arma] em um raio de <Green_14>150</>, recarga <Green_14>3s</>."
EquipmentText/TalentDesc4008,Ricochet Count +<Green_12>%s</>,Quantidade de Ricochetees +<Green_12>%s</>
EquipmentText/ModuleTips2136,"After firing a critical hit bullet, <Green_14>80%</> chance not to consume ammo.","Após disparar um projétil crítico, <Green_14>80%</> de chance de não consumir munição."
EquipmentText/EquipmentTypeID220505,Lone Warrior Belt,Cinto do Guerreiro Solitário
EquipmentText/EquipmentTypeID120500,All-In,All-In
EquipmentText/TalentName1402,Scholar,Erudito
EquipmentText/TalentName2404,Scholar,Erudito
EquipmentText/TalentName3404,Scholar,Erudito
EquipmentText/TalentName4402,Scholar,Erudito
EquipmentText/TalentName5402,Scholar,Erudito
EquipmentText/ContractName100,Guardian Pact,Pacto do Guardião
EquipmentText/TalentName4003,Full Pierce,Perfuração Total
EquipmentText/EquipmentTypeID210502,Perfectionist,Perfeccionista
EquipmentText/ModuleTips2110,"After a Perfect Dodge, automatically fire a homing fireball at the attacker, dealing <Green_14>{Param}</> [Psionic] damage.","Após uma Esquiva Perfeita, dispara automaticamente uma bola de fogo teleguiada no atacante, causando <Green_14>{Param}</> de dano [Psiônico]."
EquipmentText/ModuleTips2144,"Perfectly dodging projectile attacks allows you to bat them back with a baseball bat, dealing <Green_14>{Param}</> [Psionic] DMG.","Esquivar perfeitamente de ataques de projéteis permite rebatê-los com um taco de beisebol, causando <Green_14>{Param}</> de Dano [Psiônico]."
EquipmentText/EquipmentTypeID230505,Demolition Gloves,Luvas de Demolição
EquipmentText/AffixeName2023,Cold Assault,Assalto Gélido
EquipmentText/Attribute_Attack_Desc13,Bonus duration of status ailments inflicted on enemies,Bônus de duração das aflições de status infligidas aos inimigos
EquipmentText/Attribute_Attack_Desc12,Bonus damage dealt when inflicting status ailments on enemies,Bônus de dano causado ao infligir aflições de status aos inimigos
EquipmentText/Attribute_Attack_Desc3,Bonus damage against enemies with 50% or more HP,Bônus de dano contra inimigos com 50% ou mais de Vida
EquipmentText/Attribute_Attack_Desc4,Bonus damage against enemies with less than 50% HP,Bônus de dano contra inimigos com menos de 50% de Vida
EquipmentText/Attribute_Attack_Desc2,Bonus damage against enemies with 100% HP,Bônus de dano contra inimigos com 100% de Vida
EquipmentText/Attribute_Attack_Info5,DMG to Elites & Boss,Dano contra Elites e Boss
EquipmentText/TalentDesc1101,Damage to Elites & Boss +<Green_12>%s%</>,Dano contra Elites e Boss +<Green_12>%s%</>
EquipmentText/TalentDesc2208,Damage to Elites & Boss +<Green_12>%s%</>,Dano contra Elites e Boss +<Green_12>%s%</>
EquipmentText/TalentDesc3009,Damage to Elites & Boss +<Green_12>%s%</>,Dano contra Elites e Boss +<Green_12>%s%</>
EquipmentText/TalentDesc3105,Damage to Elites & Boss +<Green_12>%s%</>,Dano contra Elites e Boss +<Green_12>%s%</>
EquipmentText/TalentDesc3205,Damage to Elites & Boss +<Green_12>%s%</>,Dano contra Elites e Boss +<Green_12>%s%</>
EquipmentText/TalentDesc4002,Damage to Elites & Boss +<Green_12>%s%</>,Dano contra Elites e Boss +<Green_12>%s%</>
EquipmentText/TalentDesc4108,Damage to Elites & Boss +<Green_12>%s%</>,Dano contra Elites e Boss +<Green_12>%s%</>
EquipmentText/TalentDesc4208,Damage to Elites & Boss +<Green_12>%s%</>,Dano contra Elites e Boss +<Green_12>%s%</>
EquipmentText/TalentDesc5002,Damage to Elites & Boss +<Green_12>%s%</>,Dano contra Elites e Boss +<Green_12>%s%</>
EquipmentText/arr_BaseAttributeBonusDisplay20,Damage to Elites & Boss + <Green_14>%s%</>,Dano contra Elites e Boss + <Green_14>%s%</>
EquipmentText/Attribute_Attack_Desc5,Bonus damage against elite enemies and BOSS.,Bônus de dano contra inimigos de Elite e BOSS.
EquipmentText/ModuleTips2119,Damage to enemies within 4 meters is increased by <Green_14>60%</>.,Dano contra inimigos em até 4 metros aumentado em <Green_14>60%</>.
EquipmentText/TalentDesc2009,[Weapon] DMG +<Green_12>40%</> to close enemies,[Arma] Dano +<Green_12>40%</> to close inimigos
EquipmentText/TalentName1401,Treasure Hunter,Caçador de Tesouros
EquipmentText/TalentName4401,Treasure Hunter,Caçador de Tesouros
EquipmentText/TalentName5401,Treasure Hunter,Caçador de Tesouros
EquipmentText/TalentDesc3004,"Per 0.1s missile flight, +<Green_12>2%</> blast radius and +<Green_12>2%</>[Weapon] DMG","A cada 0.1s de voo do míssil, +<Green_12>2%</> de raio de explosão e +<Green_12>2%</> de Dano de [Arma]"
EquipmentText/TalentDesc3007,Missile direct hit DMG +<Green_12>15%</>,Missile direct hit Dano +<Green_12>15%</>
EquipmentText/ModuleTips2169,"After <Green_14>10</> hits on enemies, summon the Thunderdrake to breathe forward, dealing <Green_14>{Param}</> [Tactical Skill] damage per second. Internal cooldown: <Green_14>7</>s.

<Boss_shenhua>*Glorious Trophy from [Cataclysm Drake]*</>","Após <Green_14>10</> acertos em inimigos, invoca o Thunderdrake para soprar à frente, causando <Green_14>{Param}</> de dano de [Habilidade Tática] por segundo. Recarga interna: <Green_14>7</>s.

<Boss_shenhua>*Troféu Glorioso de [Cataclysm Drake]*</>"
EquipmentText/ModuleTips2160,"Shooting an enemy has a <Green_14>20%</> chance to fire a hook that pulls small‑sized enemies to you and deals <Green_14>{Param}</> [Psionic] damage. The hook has a <Green_14>5</>s cooldown per target.

<Boss_shenhua>*Glorious Trophy from [Sandstorm Lord]*</>","Atirar em um inimigo tem <Green_14>20%</> de chance de disparar um gancho que puxa inimigos pequenos até você e causa <Green_14>{Param}</> de dano [Psiônico]. O gancho tem <Green_14>5</>s de recarga por alvo.

<Boss_shenhua>*Troféu Glorioso de [Sandstorm Lord]*</>"
EquipmentText/ModuleTips2145,"Shooting hits have a <Green_14>1%</> chance to summon the Plague Angel to perform a Crescent Slash, dealing <Green_14>{Param}</> [Throw] damage.

<Boss_shenhua>*Glorious Trophy from [Plague Angel]*</>","Acertos de disparo têm <Green_14>1%</> de chance de invocar o Plague Angel para executar um Corte Crescente, causando <Green_14>{Param}</> de dano de [Arremesso].

<Boss_shenhua>*Troféu Glorioso de [Plague Angel]*</>"
EquipmentText/Attribute_Survival_Info6,Chance of On-Hit Heal,Chance de Cura ao Acertar
EquipmentText/TalentDesc2308,Chance of On-Hit Heal +<Green_12>%s%</>,Chance de Cura ao Acertar +<Green_12>%s%</>
EquipmentText/TalentDesc3308,Chance of On-Hit Heal +<Green_12>%s%</>,Chance de Cura ao Acertar +<Green_12>%s%</>
EquipmentText/TalentDesc4306,Chance of On-Hit Heal +<Green_12>%s%</>,Chance de Cura ao Acertar +<Green_12>%s%</>
EquipmentText/TalentDesc5306,Chance of On-Hit Heal +<Green_12>%s%</>,Chance de Cura ao Acertar +<Green_12>%s%</>
EquipmentText/arr_BaseAttributeBonusDisplay7,Chance of On-Hit Heal + <Green_14>%s%</>,Chance de Cura ao Acertar + <Green_14>%s%</>
EquipmentText/ModuleTips2085,Chance of On-Hit Heal +<Green_14>12%</>,Chance de Cura ao Acertar +<Green_14>12%</>
EquipmentText/ModuleTips2005,Shots have a <Green_14>15%</> chance to fire an additional bullet,Disparos têm <Green_14>15%</> de chance de disparar um projétil adicional
EquipmentText/EquipmentTypeID200506,Synchro Helm,Elmo Sincronizado
EquipmentText/EquipmentTypeID260503,Projectile Bracer,Braçadeira de Projéteis
EquipmentText/AffixeName33,Projectile,Projétil
EquipmentText/AffixeName24,Lethal,Letal
EquipmentText/Attribute_Weapon_Info9,Range,Alcance
EquipmentText/Attribute_Weapon_Info2,Fire Rate,Cadência de Tiro
EquipmentText/TalentDesc1201,Fire Rate +<Green_12>%s%</>,Cadência de Tiro +<Green_12>%s%</>
EquipmentText/TalentDesc2101,Fire Rate +<Green_12>%s%</>,Cadência de Tiro +<Green_12>%s%</>
EquipmentText/TalentDesc5101,Fire Rate +<Green_12>%s%</>,Cadência de Tiro +<Green_12>%s%</>
EquipmentText/TalentDesc5009,"Fire Rate +<Green_12>15%</>, Luck +<Green_12>15%</>","Cadência de Tiro +<Green_12>15%</>, Sorte +<Green_12>15%</>"
EquipmentText/ModuleTips2158,"Convert <Green_14>70%</> of max Health into a shield equal to <Green_14>1.5</> times that amount. When current Health is above <Green_14>30%</>, Health recovery is instead converted into shield.","Converte <Green_14>70%</> da Vida máxima em um escudo igual a <Green_14>1.5</> vez esse valor. Quando a Vida atual está acima de <Green_14>30%</>, a recuperação de Vida é convertida em escudo."
EquipmentText/EquipmentTypeID240504,Spike Assault Boots,Botas de Assalto Espinhoso
EquipmentText/AffixeName48,Block,Block
EquipmentText/Attribute_Name,Attributes,Atributos
EquipmentText/TalentName4107,Peak,Ápice
EquipmentText/EquipmentTypeID221002,Giant's Belt,Cinto do Gigante
EquipmentText/EquipmentTypeID170002,Beast Heavy Bow,Arco Pesado Bestial
EquipmentText/EquipmentTypeID241503,Colossus Boots,Botas do Colosso
EquipmentText/EquipmentTypeID220002,Balanced Belt,Cinto Equilibrado
EquipmentText/Attribute_Others_Info1,Luck,Sorte
EquipmentText/TalentDesc1203,Luck +<Green_12>%s%</>,Sorte +<Green_12>%s%</>
EquipmentText/TalentDesc2109,Luck +<Green_12>%s%</>,Sorte +<Green_12>%s%</>
EquipmentText/TalentDesc2207,Luck +<Green_12>%s%</>,Sorte +<Green_12>%s%</>
EquipmentText/TalentDesc4207,Luck +<Green_12>%s%</>,Sorte +<Green_12>%s%</>
EquipmentText/TalentDesc5103,Luck +<Green_12>%s%</>,Sorte +<Green_12>%s%</>
EquipmentText/TalentDesc5108,Luck +<Green_12>%s%</>,Sorte +<Green_12>%s%</>
EquipmentText/arr_BaseAttributeBonusDisplay43,Luck + <Green_14>%s%</>,Sorte + <Green_14>%s%</>
EquipmentText/ModuleTips2081,Luck +<Green_14>30%</>,Sorte +<Green_14>30%</>
EquipmentText/AffixeName43,Lucky,Sortudo
EquipmentText/EquipmentTypeID210504,Phantom Dancer,Dançarino Fantasma
EquipmentText/EquipmentTypeID100010,Wasteland Skullcrusher,Esmaga-Crânios do Ermo
EquipmentText/TalentName1106,Duration+,Duração+
EquipmentText/TalentDesc3010,"Firing rapidly shoots <Green_12>2</> missiles, [Weapon] DMG -<red_12>45%</>","Atirar rapidamente dispara <Green_12>2</> mísseis, [Arma] Dano -<red_12>45%</>"
EquipmentText/TalentName5202,Status DMG,Dano de Aflição
EquipmentText/AffixeName2065,Ailment,Aflição
EquipmentText/Attribute_Attack_Info12,Status ailment damage,Dano de Aflição
EquipmentText/TalentDesc5202,Status Ailment DMG +<Green_12>%s%</>,Dano de Aflição +<Green_12>%s%</>
EquipmentText/arr_BaseAttributeBonusDisplay1013,Status Ailment Damage + <Green_14>%s%</>,Dano de Aflição + <Green_14>%s%</>
EquipmentText/arr_BaseAttributeBonusDisplay1027,Status Ailment Damage + <Green_14>%s%</>,Dano de Aflição + <Green_14>%s%</>
EquipmentText/arr_BaseAttributeBonusDisplay16,Status Ailment Damage + <Green_14>%s%</>,Dano de Aflição + <Green_14>%s%</>
EquipmentText/ModuleTips2069,Status ailment damage frequency increased by <Green_14>3</>x.,Frequência de dano de aflições de status aumentada em <Green_14>3</>x.
EquipmentText/Attribute_Attack_Info13,Status Ailment Duration,Duração de Aflição
EquipmentText/TalentDesc2304,Status Ailment Duration +<Green_12>%s%</>,Duração de Aflição +<Green_12>%s%</>
EquipmentText/TalentDesc3304,Status Ailment Duration +<Green_12>%s%</>,Duração de Aflição +<Green_12>%s%</>
EquipmentText/TalentDesc5003,Status Ailment Duration +<Green_12>%s%</>,Duração de Aflição +<Green_12>%s%</>
EquipmentText/AffixeName16,Aberrant,Aberrante
EquipmentText/TalentName4307,Status Resist,Resistência a Aflições
EquipmentText/TalentName5307,Status Resist,Resistência a Aflições
EquipmentText/EquipmentTypeID221502,Warrior Belt,Cinto do Guerreiro
EquipmentText/AffixeName56,Psionic,Psiônico
EquipmentText/TalentName1101,Kingslayer,Matador de Reis
EquipmentText/TalentName2208,Kingslayer,Matador de Reis
EquipmentText/TalentName3009,Kingslayer,Matador de Reis
EquipmentText/TalentName3105,Kingslayer,Matador de Reis
EquipmentText/TalentName3205,Kingslayer,Matador de Reis
EquipmentText/TalentName4002,Kingslayer,Matador de Reis
EquipmentText/TalentName4108,Kingslayer,Matador de Reis
EquipmentText/TalentName4208,Kingslayer,Matador de Reis
EquipmentText/TalentName5002,Kingslayer,Matador de Reis
EquipmentText/AffixeName20,Godslayer,Matador de Deuses
EquipmentText/TalentDesc5005,"Bow hits have <Green_12>15%</> chance to 【Mark】, 【Marked】 enemies take +<Green_12>15%</> DMG for <Green_12>5</>s",Acertos de Arco têm <Green_12>15%</> de chance de aplicar 【Marca】; inimigos 【Marcados】 sofrem +<Green_12>15%</> de Dano por <Green_12>5</>s
EquipmentText/ModuleTips2139,"Bow's multi-shot upgrades to Divine Punishment Spear, dealing [Weapon] damage every <Green_14>0.2</>s for <Green_14>2</>s.","O multitiro do Arco evolui para Lança da Punição Divina, causando dano de [Arma] a cada <Green_14>0.2</>s por <Green_14>2</>s."
EquipmentText/TalentName5005,Weak Point,Ponto Fraco
EquipmentText/Attribute_Weapon_Info4,Magazine,Carregador
EquipmentText/TalentDesc1208,Magazine +<Green_12>%s%</>,Carregador +<Green_12>%s%</>
EquipmentText/TalentDesc2103,Magazine +<Green_12>%s%</>,Carregador +<Green_12>%s%</>
EquipmentText/TalentDesc2010,Magazine -<red_12>50%</>; First shot after reload +<Green_12>60%</>[Weapon] DMG,Carregador -<red_12>50%</>; primeiro disparo após recarregar causa +<Green_12>60%</> de Dano de [Arma]
EquipmentText/ModuleTips2037,"Magazine capacity fixed at <red_14>1</>. After reload, [Weapon] Reload Speed +<Green_14>25%</>, [Psionic] Damage +<Green_14>30%</> for <Green_14>3</>s.","Capacidade do carregador fixa em <red_14>1</>. Após recarregar, Velocidade de Recarga de [Arma] +<Green_14>25%</>, Dano [Psiônico] +<Green_14>30%</> por <Green_14>3</>s."
EquipmentText/EquipmentTypeID220506,Crater Theory,Teoria da Cratera
EquipmentText/Attribute_Weapon_Info7,Ricochet,Ricochete
EquipmentText/TalentName4008,Ricochet,Ricochete
EquipmentText/TalentName2006,Barrage,Barragem
EquipmentText/AffixeName22,Barrage,Barragem
EquipmentText/AffixeName2060,Pouch,Bolsa
EquipmentText/Attribute_Weapon_Info5,Projectile Count,Quantidade de Projéteis
EquipmentText/AffixeName12,Chain,Corrente
EquipmentText/AffixeName2083,Sturdy,Resistente
EquipmentText/TalentName1002,Strong Attack,Ataque Forte
EquipmentText/TalentName1102,Strong Attack,Ataque Forte
EquipmentText/TalentName2000,Strong Attack,Ataque Forte
EquipmentText/TalentName3000,Strong Attack,Ataque Forte
EquipmentText/TalentName4005,Strong Attack,Ataque Forte
EquipmentText/TalentName4101,Strong Attack,Ataque Forte
EquipmentText/TalentName5001,Strong Attack,Ataque Forte
EquipmentText/TalentName1203,Lucky,Sortudo
EquipmentText/TalentName2109,Lucky,Sortudo
EquipmentText/TalentName2207,Lucky,Sortudo
EquipmentText/TalentName4207,Lucky,Sortudo
EquipmentText/TalentName5103,Lucky,Sortudo
EquipmentText/TalentName1305,Toughness,Toughness
EquipmentText/TalentName2300,Toughness,Toughness
EquipmentText/TalentName3104,Toughness,Toughness
EquipmentText/TalentName3300,Toughness,Toughness
EquipmentText/TalentName4300,Toughness,Toughness
EquipmentText/TalentName5300,Toughness,Toughness
EquipmentText/ModuleTips2166,"When you take fatal damage, instantly detonate <Green_14>1</> nearby drone or Mechatech, restoring <Green_14>35%</> of your Health. This effect can trigger at most once every <Green_14>60</>s.","Ao sofrer dano fatal, detona instantaneamente <Green_14>1</> drone ou Mechatech próximo, restaurando <Green_14>35%</> da sua Vida. Este efeito pode ser acionado no máximo uma vez a cada <Green_14>60</>s."
EquipmentText/ModuleTips2098,"After reloading, launch multiple ice shards dealing <Green_14>{Param}</> [Psionic] damage and applying [Chill]. Deal +<Green_14>60%</> damage to [Frozen] enemies.","Após recarregar, lança múltiplos estilhaços de gelo que causam <Green_14>{Param}</> de dano [Psiônico] e aplicam [Calafrio]. Causa +<Green_14>60%</> de dano a inimigos [Congelados]."
EquipmentText/ModuleTips2115,"When hit, automatically fires an orbital laser at the attacker, dealing <Green_14>{Param}</> [Tactical Skill] damage. Can trigger once every <Green_14>8</>s.","Ao ser atingido, dispara automaticamente um laser orbital no atacante, causando <Green_14>{Param}</> de dano de [Habilidade Tática]. Pode ser acionado uma vez a cada <Green_14>8</>s."
EquipmentText/Attribute_Attack_Desc11,"The damage type with the highest bonus, categories include: Weapon/Dash/Chase/Psionic/Throw/Tactical Skill/Auxiliary Weapon",O tipo de dano com o maior bônus. As categorias incluem: Arma/Dash/Perseguição/Psiônico/Arremesso/Habilidade Tática/Arma Auxiliar
EquipmentText/ModuleTips2073,"After being attacked, Armor +<Green_14>1.5</> for <Green_14>5</>s, max <Green_14>10</> stacks.","Após ser atacado, Armadura +<Green_14>1.5</> por <Green_14>5</>s, máximo de <Green_14>10</> acúmulos."
EquipmentText/ModuleTips2076,"When attacked, <Green_14>2%</> chance to drop a medkit nearby.","Ao ser atacado, <Green_14>2%</> de chance de gerar um Kit Médico por perto."
EquipmentText/ModuleTips2116,"When taking lethal damage, 50% chance to restore <Green_14>30%</> of your Health and Freeze nearby enemies. (Cooldown <Green_14>60</>s)","Ao sofrer dano letal, 50% de chance de restaurar <Green_14>30%</> da sua Vida e congelar inimigos próximos. (Recarga <Green_14>60</>s)"
EquipmentText/ModuleTips2111,"When Health is below 35%, [Weapon] Critical Chance +<Green_14>35%</>.","Quando Vida is below 35%, [Arma] Chance Crítica +<Green_14>35%</>."
EquipmentText/Attribute_Weapon_Desc8,Affects the magnitude of knocking back monsters,Afeta a intensidade da repulsão contra monstros
EquipmentText/EquipmentTypeID210001,Shadowstrike Armor,Shadowstrike Armadura
EquipmentText/TalentName1207,Sure Kill,Sure Kill
EquipmentText/TalentName4004,Sure Kill,Sure Kill
EquipmentText/TalentName5107,Sure Kill,Sure Kill
EquipmentText/ContractName111,Swift Pact,Swift Pacto
EquipmentText/AffixeName63,Quick-handed,Quick-handed
EquipmentText/TalentName2403,Fast Supply,Fast Supply
EquipmentText/TalentName3403,Fast Supply,Fast Supply
EquipmentText/EquipmentTypeID211502,Flash-Freeze Core,Núcleo de Congelamento Instantâneo
EquipmentText/EquipmentTypeID270502,Emergency Nano-Core,Nanonúcleo de Emergência
EquipmentText/AffixeName6,Restore,Restore
EquipmentText/EquipmentTypeID280509,Dreadwyrm Breath,Sopro do Dragão do Pavor
EquipmentText/TalentName3202,Tactical DMG,Dano Tático
EquipmentText/TalentName5200,Tactical DMG,Dano Tático
EquipmentText/TalentName3206,Tactical Crit,Crítico Tático
EquipmentText/TalentName5208,Tactical Crit,Crítico Tático
EquipmentText/EquipmentTypeID250506,Battlefield Detector Goggles,Óculos Detectores de Campo
EquipmentText/EquipmentTypeID221501,Combat Aid Kit,Kit de Apoio de Combate
EquipmentText/TalentName3201,Tactical Area,Área Tática
EquipmentText/TalentName5201,Tactical Area,Área Tática
EquipmentText/AffixeName34,Zone,Zone
EquipmentText/TalentName3200,Tactical Duration,Duração Tática
EquipmentText/TalentName5204,Tactical Duration,Duração Tática
EquipmentText/AffixeName55,Tactical,Tactical
EquipmentText/TalentName5209,Tactical Burst,Rajada Tática
EquipmentText/TalentName1110,Tactician,Tático
EquipmentText/EquipmentTypeID150500,Tactical Catalyst,Catalisador Tático
EquipmentText/EquipmentTypeID110000,Tactical SMG,Tactical SMG
EquipmentText/TalentName5211,Tactical Guidance,Tactical Guidance
EquipmentText/Attribute_Skill_Name,Tactical Skill,Habilidade Tática
EquipmentText/Attribute_Skill_Info1,Tactical Skill Damage,Habilidade Tática Dano
EquipmentText/Attribute_Skill_Info3,Skill Projectile Count,Skill Quantidade de Projéteis
EquipmentText/Attribute_Skill_Info4,Tactical Skill Duration,Habilidade Tática Duração
EquipmentText/Attribute_Skill_Info5,Tactical Skill Slots,Habilidade Tática Espaços
EquipmentText/TalentName3203,Tactical Slot,Espaço Tático
EquipmentText/TalentName5205,Tactical Slot,Espaço Tático
EquipmentText/Attribute_Skill_Info6,Skill Crit Chance,Skill Chance Crítica
EquipmentText/Attribute_Skill_Desc1,Bonus damage for Tactical Skill-type Divine Tech abilities,Bônus de dano para habilidades de Tecnologia Divina do tipo Habilidade Tática
EquipmentText/Attribute_Skill_Desc4,Bonus duration for Tactical Skill-type Divine Tech abilities,Bônus de duração para habilidades de Tecnologia Divina do tipo Habilidade Tática
EquipmentText/Attribute_Skill_Desc2,Bonus Area for Tactical Skill-type Divine Tech abilities,Bônus de Área para habilidades de Tecnologia Divina do tipo Habilidade Tática
EquipmentText/Attribute_Skill_Desc6,Bonus Crit Chance for Tactical Skill-type Divine Tech abilities,Bônus de Chance Crítica para habilidades de Tecnologia Divina do tipo Habilidade Tática
EquipmentText/Attribute_Skill_Info2,Tactical Skill Area,Habilidade Tática Área
EquipmentText/EquipmentTypeID270509,Tactical Sim Chip,Chip de Simulação Tática
EquipmentText/TalentName1111,Tactical Demolition Hardpoint,Tactical Demolition Hardpoint
EquipmentText/AffixeName25,Tactical,Tactical
EquipmentText/AffixeName8,Vampiric,Vampiric
EquipmentText/Attribute_Attack_Desc9,Global duration bonus for all Divine Tech abilities.,Bônus global de duração para todas as habilidades de Tecnologia Divina.
EquipmentText/Attribute_Attack_Desc8,Global Area bonus for all Divine Tech abilities.,Bônus global de Área para todas as habilidades de Tecnologia Divina.
EquipmentText/ModuleTips2108,Duration of all Events buffs is doubled.,A duração de todos os bônus de Eventos é dobrada.
EquipmentText/Attribute_Attack_Desc6,Overall chance for attacks to deal critical damage,Chance geral de ataques causarem dano crítico
EquipmentText/ModuleTips2126,Damage of all Buzzsaw-type skills +<Green_14>50%</>.,+<Green_14>50%</> de dano em todas as habilidades de Lâminas.
EquipmentText/Armor_Type_Glove,Gloves,Luvas
EquipmentText/Weapon_Type_Ps,Pistol,Pistola
EquipmentText/Armor_Type_Wristband,Wristband,Bracelete
EquipmentText/Armor_Type_Grenade,Grenade,Granada
EquipmentText/Attribute_Throw_Info8,Grenade DMG,Granada Dano
EquipmentText/ModuleTips2124,"For each enemy hit by a Grenade, gain <Green_14>2%</> Damage Reduction for <Green_14>5</> seconds. Stacks up to <Green_14>15</> times.","Para cada inimigo atingido por uma Granada, ganha <Green_14>2%</> de Redução de Dano por <Green_14>5</> segundos. Acumula até <Green_14>15</> vezes."
EquipmentText/EquipmentTypeID120501,Pile Driver,Bate-Estacas
EquipmentText/TalentName1001,Magazine+,Magazine+
EquipmentText/TalentName1005,Magazine+,Magazine+
EquipmentText/TalentName1107,Magazine+,Magazine+
EquipmentText/TalentName1108,Magazine+,Magazine+
EquipmentText/TalentName1208,Magazine+,Magazine+
EquipmentText/TalentName2005,Magazine+,Magazine+
EquipmentText/TalentName2103,Magazine+,Magazine+
EquipmentText/TalentName3003,Magazine+,Magazine+
EquipmentText/TalentName5108,Magazine+,Magazine+
EquipmentText/AffixeName64,Expanded,Expanded
EquipmentText/Attribute_Weapon_Info10,Spread,Dispersão
EquipmentText/AffixeName13,Skill,Skill
EquipmentText/AffixeName61,Launcher's,Launcher's
EquipmentText/Attribute_Throw_Name,Throw,Arremesso
EquipmentText/Attribute_Throw_Info2,Throw Damage,Arremesso Dano
EquipmentText/Attribute_Throw_Info3,Throw Charges,Arremesso Cargas
EquipmentText/Attribute_Throw_Info9,Throw CD Reduction,Arremesso Recarga Reduction
EquipmentText/ModuleTips2064,"After throwing, [Throw] Damage +<Green_14>20%</> for <Green_14>15</> s, max <Green_14>5</> stacks.","Após arremessar, [Arremesso] Dano +<Green_14>20%</> por <Green_14>15</> s, máximo de <Green_14>5</> acúmulos."
EquipmentText/Attribute_Throw_Desc8,Damage dealt by throwing grenades,Dano causado ao arremessar granadas
EquipmentText/Attribute_Throw_Info7,Throw Projectile Count,Arremesso Quantidade de Projéteis
EquipmentText/Attribute_Throw_Info1,Throw Duration,Arremesso Duração
EquipmentText/Attribute_Throw_Info5,Throw Slots,Arremesso Espaços
EquipmentText/TalentName1103,Throw Crit,Crítico de Arremesso
EquipmentText/Attribute_Throw_Info6,Throw Crit Chance,Arremesso Chance Crítica
EquipmentText/ModuleTips2163,Thrown projectiles split once more after landing.,Projéteis arremessados se dividem mais uma vez após aterrissar.
EquipmentText/AffixeName59,Thrown,Arremessado
EquipmentText/Attribute_Throw_Desc2,Bonus damage for Throw-type Divine Tech abilities,Bônus de dano para habilidades de Tecnologia Divina do tipo Arremesso
EquipmentText/Attribute_Throw_Desc3,Number of uses available for Throw-type Divine Tech abilities,Número de usos disponíveis para habilidades de Tecnologia Divina do tipo Arremesso
EquipmentText/Attribute_Throw_Desc1,Bonus duration for Throw-type Divine Tech abilities,Bônus de duração para habilidades de Tecnologia Divina do tipo Arremesso
